> 1 contour -Z1
-64	20.000001	1
-63.999999	20	1
-63	19.000001	1
-62	19.000001	1
-61	19.000001	1
-60.999999	19	1
-60	18.000001	1
-59.999999	18	1
-59.999999	17	1
-59	16.000001	1
-58.999999	16	1
-58	15.000001	1
-57.999999	15	1
-57.999999	14	1
-57.999999	13	1
-57.999999	12	1
-57.999999	11	1
-58	10.999999	1
-58.999999	10	1
-58.999999	9	1
-58	8.000001	1
-57.999999	8	1
> 1 contour -Z1
-75	-53.000001	1
-75.000001	-53	1
-75.000001	-52	1
-76	-51.000001	1
-76.000001	-51	1
-76.000001	-50	1
-76.000001	-49	1
-76.000001	-48	1
-76.000001	-47	1
-76	-46.999999	1
-75.000001	-46	1
-75.000001	-45	1
-75.000001	-44	1
-75.000001	-43	1
-75.000001	-42	1
-75.000001	-41	1
-75.000001	-40	1
-75	-39.999999	1
-74.000001	-39	1
-74.000001	-38	1
-74.000001	-37	1
-74.000001	-36	1
-74	-35.999999	1
-73.000001	-35	1
-73.000001	-34	1
-73	-33.999999	1
-72.000001	-33	1
-72.000001	-32	1
-72.000001	-31	1
-72.000001	-30	1
-72.000001	-29	1
-72	-28.999999	1
-71.000001	-28	1
-71.000001	-27	1
-71.000001	-26	1
-71.000001	-25	1
-71.000001	-24	1
-71.000001	-23	1
-71.000001	-22	1
-71.000001	-21	1
-71.000001	-20	1
-71.000001	-19	1
-72	-18.000001	1
-72.000001	-18	1
-73	-17.000001	1
-74	-17.000001	1
-74.000001	-17	1
-75	-16.000001	1
-75.000001	-16	1
-76	-15.000001	1
-76.000001	-15	1
-77	-14.000001	1
-77.000001	-14	1
-78	-13.000001	1
-78.000001	-13	1
-79	-12.000001	1
-79.000001	-12	1
-79.000001	-11	1
-80	-10.000001	1
-80.000001	-10	1
-80.000001	-9	1
-81	-8.000001	1
-81.000001	-8	1
-81.000001	-7	1
-81.000001	-6	1
-81.000001	-5	1
-81.000001	-4	1
-81.000001	-3	1
-81.000001	-2	1
-81.000001	-1	1
-81	-0.999999000001	1
-80.000001	0	1
-80.000001	1	1
-80.000001	2	1
-80	2.000001	1
-79.000001	3	1
-79	3.000001	1
-78.000001	4	1
-78.000001	5	1
-78.000001	6	1
-78.000001	7	1
-79	7.999999	1
-80	7.999999	1
-80.999999	7	1
-81	6.999999	1
-81.000001	7	1
-82	7.999999	1
-83	7.999999	1
-83.000001	8	1
-84	8.999999	1
-84.000001	9	1
-85	9.999999	1
-86	9.999999	1
-86.000001	10	1
-87	10.999999	1
-87.000001	11	1
-88	11.999999	1
-89	11.999999	1
-89.000001	12	1
-90	12.999999	1
-91	12.999999	1
-91.000001	13	1
-92	13.999999	1
-93	13.999999	1
-93.000001	14	1
-94	14.999999	1
-95	14.999999	1
-95.000001	15	1
-96	15.999999	1
-97	15.999999	1
-98	15.999999	1
-99	15.999999	1
-99.000001	16	1
-100	16.999999	1
-101	16.999999	1
-102	16.999999	1
-102.000001	17	1
-103	17.999999	1
-104	17.999999	1
-104.000001	18	1
-105	18.999999	1
-105.000001	19	1
-106	19.999999	1
-106.000001	20	1
-106.000001	21	1
-107	21.999999	1
-107.000001	22	1
-107.000001	23	1
-108	23.999999	1
> 1 contour -Z1
-123	37.999999	1
-123.000001	38	1
-124	38.999999	1
-124.000001	39	1
-124.000001	40	1
-125	40.999999	1
-125.000001	41	1
-125.000001	42	1
-125.000001	43	1
-125.000001	44	1
-125.000001	45	1
-125.000001	46	1
-125.000001	47	1
-126	47.999999	1
-126.000001	48	1
-127	48.999999	1
-127.000001	49	1
-128	49.999999	1
-128.000001	50	1
-129	50.999999	1
-130	50.999999	1
-130.000001	51	1
-131	51.999999	1
-131.000001	52	1
-132	52.999999	1
-132.000001	53	1
-133	53.999999	1
> 1 contour -Z1
-140	58.999999	1
-141	58.999999	1
-142	58.999999	1
-143	58.999999	1
-143.000001	59	1
-144	59.999999	1
-144.999999	59	1
-145	58.999999	1
-146	58.999999	1
-146.999999	58	1
-147	57.999999	1
-148	57.999999	1
-148.999999	57	1
-149	56.999999	1
-150	56.999999	1
-150.999999	56	1
-151	55.999999	1
-152	55.999999	1
-153	55.999999	1
-153.999999	55	1
-154	54.999999	1
-155	54.999999	1
-156	54.999999	1
-157	54.999999	1
-157.000001	55	1
-158	55.999999	1
-158.999999	55	1
-159	54.999999	1
-160	54.999999	1
-161	54.999999	1
-162	54.999999	1
-162.999999	54	1
-163	53.999999	1
-164	53.999999	1
-165	53.999999	1
-165.999999	53	1
-166	52.999999	1
-167	52.999999	1
-168	52.999999	1
-169	52.999999	1
-169.999999	52	1
-170	51.999999	1
-171	51.999999	1
-171.999999	51	1
-172	50.999999	1
-173	50.999999	1
-174	50.999999	1
-175	50.999999	1
-176	50.999999	1
-177	50.999999	1
-178	50.999999	1
-179	50.999999	1
-179.000001	51	1
180	51.999999	1
179.000001	51	1
179	50.999999	1
178	50.999999	1
177	50.999999	1
176	50.999999	1
175	50.999999	1
174.999999	51	1
174	51.999999	1
173	51.999999	1
172	51.999999	1
171.999999	52	1
171	52.999999	1
170	52.999999	1
169.999999	53	1
169	53.999999	1
