93 7  126 RIO GRANDE RISE, SOUTH ATLANTIC OCEAN                                 
 -32.5537  -28.4349 2
 -32.6118  -28.4051 2
 -32.6621  -28.3868 2
 -32.7047  -28.3983 2
 -32.7607  -28.4486 2
 -32.8090  -28.4943 2
 -32.8766  -28.5469 2
 -32.9846  -28.5950 2
 -33.0501  -28.6087 2
 -33.1291  -28.6247 2
 -33.2022  -28.6453 2
 -33.2733  -28.6864 2
 -33.3251  -28.7070 2
 -33.4249  -28.7322 2
 -33.5265  -28.8054 2
 -33.6145  -28.8534 2
 -33.6796  -28.9151 2
 -33.7197  -28.9586 2
 -33.7694  -29.0112 2
 -33.8095  -29.0478 2
 -33.8496  -29.0524 2
 -33.8782  -28.9952 2
 -33.8896  -28.9083 2
 -33.9049  -28.8168 2
 -33.9335  -28.7002 2
 -33.9240  -28.6224 2
 -33.9259  -28.5561 2
 -33.9564  -28.4646 2
 -33.9869  -28.3777 2
 -33.9964  -28.2679 2
 -34.0021  -28.1604 2
 -34.0135  -28.0689 2
 -34.0307  -27.9500 2
 -34.0402  -27.9043 2
 -34.0649  -27.8608 2
 -34.0973  -27.8494 2
 -34.1582  -27.9615 2
 -34.1696  -28.0369 2
 -34.2000  -28.1010 2
 -34.2171  -28.1764 2
 -34.2323  -28.3159 2
 -34.2437  -28.4577 2
 -34.2456  -28.6407 2
 -34.2513  -28.7482 2
 -34.2532  -28.8945 2
 -34.2608  -29.0272 2
 -34.2722  -29.1598 2
 -34.2759  -29.2879 2
 -34.2930  -29.4160 2
 -34.2892  -29.5418 2
 -34.2892  -29.7133 2
 -34.2722  -29.8665 2
 -34.2703  -30.0175 2
 -34.2835  -30.1547 2
 -34.2797  -30.2530 2
 -34.2608  -30.3628 2
 -34.2513  -30.4840 2
 -34.2456  -30.5915 2
 -34.2437  -30.6898 2
 -34.2342  -30.7676 2
 -34.2190  -30.8454 2
 -34.1753  -30.9391 2
 -34.1391  -31.0535 2
 -34.1372  -31.1152 2
 -34.1315  -31.1998 2
 -34.1182  -31.2776 2
 -34.0840  -31.3439 2
 -34.0573  -31.4080 2
 -34.0383  -31.4766 2
 -34.0326  -31.5246 2
 -34.0326  -31.5635 2
 -33.9430  -31.6367 2
 -33.9030  -31.6824 2
 -33.8744  -31.7167 2
 -33.8305  -31.7464 2
 -33.7923  -31.7533 2
 -33.7197  -31.7556 2
 -33.6356  -31.7144 2
 -33.5571  -31.6687 2
 -33.5112  -31.6298 2
 -33.4460  -31.5978 2
 -33.3693  -31.5406 2
 -33.3136  -31.4560 2
 -33.2752  -31.3965 2
 -33.2022  -31.3233 2
 -33.1194  -31.2845 2
 -33.0694  -31.2639 2
 -33.0193  -31.2502 2
 -32.9769  -31.2410 2
 -32.9345  -31.2479 2
 -32.8978  -31.3028 2
 -32.8689  -31.3942 2
 -32.8380  -31.4171 2
 -32.7588  -31.4331 2
 -32.6737  -31.4148 2
 -32.5673  -31.4194 2
 -32.4840  -31.3942 2
 -32.4006  -31.3622 2
 -32.3210  -31.3211 2
 -32.2374  -31.2730 2
 -32.1558  -31.2319 2
 -32.0701  -31.1976 2
 -31.9708  -31.1610 2
 -31.9044  -31.1221 2
 -31.8147  -31.0878 2
 -31.7404  -31.0832 2
 -31.6700  -31.0695 2
 -31.5957  -31.0352 2
 -31.5467  -31.0032 2
 -31.5212  -30.9551 2
 -31.5095  -30.9368 2
 -31.5134  -30.8980 2
 -31.5545  -30.8705 2
 -31.6172  -30.8637 2
 -31.6857  -30.8751 2
 -31.7580  -30.8842 2
 -31.8478  -30.8934 2
 -31.9376  -30.9071 2
 -31.9902  -30.9048 2
 -32.0604  -30.8842 2
 -32.1168  -30.8568 2
 -32.1616  -30.8225 2
 -32.2024  -30.7562 2
 -32.2141  -30.7310 2
 -32.2063  -30.6853 2
 -32.2044  -30.6235 2
 -32.1947  -30.5686 2
 -32.1655  -30.5572 2
 -32.1032  -30.5503 2
 -32.0429  -30.5618 2
 -31.9980  -30.5503 2
 -31.9454  -30.5480 2
 -31.8986  -30.5732 2
 -31.8596  -30.6167 2
 -31.8088  -30.6601 2
 -31.7580  -30.7173 2
 -31.7131  -30.7493 2
 -31.6720  -30.7699 2
 -31.6074  -30.7950 2
 -31.5487  -30.8065 2
 -31.4781  -30.8156 2
 -31.3644  -30.7882 2
 -31.2682  -30.8019 2
 -31.2092  -30.7767 2
 -31.1542  -30.7447 2
 -31.1011  -30.7036 2
 -31.0518  -30.6738 2
