 -35.9101   -4.8201 2
 -35.9530   -4.7994 2
 -35.9810   -4.7834 2
 -36.0219   -4.7421 2
 -36.0461   -4.7307 2
 -36.0703   -4.7032 2
 -36.0480   -4.6734 2
 -36.0014   -4.6276 2
 -35.9772   -4.5932 2
 -35.9474   -4.5634 2
 -35.9437   -4.5221 2
 -35.9381   -4.4832 2
 -35.9213   -4.4327 2
 -35.9139   -4.3983 2
 -35.9064   -4.3686 2
 -35.8840   -4.3525 2
 -35.8299   -4.3479 2
 -35.7982   -4.3915 2
 -35.7683   -4.4373 2
 -35.7384   -4.4832 2
 -35.7048   -4.5152 2
 -35.6580   -4.5267 2
 -35.6112   -4.5175 2
 -35.5157   -4.4648 2
 -35.4820   -4.4465 2
 -35.4688   -4.4213 2
 -35.4707   -4.3915 2
 -35.4782   -4.3686 2
 -35.4707   -4.3388 2
 -35.4407   -4.2952 2
 -35.4107   -4.2975 2
 -35.3544   -4.3067 2
 -35.2924   -4.3021 2
 -35.2435   -4.2562 2
 -35.2266   -4.2150 2
 -35.2003   -4.1577 2
 -35.1664   -4.0889 2
 -35.1363   -4.0316 2
 -35.1043   -3.9904 2
 -35.0402   -3.9102 2
 -35.0213   -3.8941 2
 -34.9987   -3.8804 2
 -34.9723   -3.8666 2
 -34.9327   -3.8712 2
 -34.8760   -3.8689 2
 -34.8023   -3.8574 2
 -34.7588   -3.8368 2
 -34.7361   -3.8070 2
 -34.7021   -3.7933 2
 -34.7172   -3.7543 2
 -34.7323   -3.6901 2
 -34.7456   -3.6282 2
 -34.7456   -3.5664 2
 -34.7305   -3.5022 2
 -34.7096   -3.4563 2
 -34.6850   -3.4242 2
 -34.6377   -3.3876 2
 -34.5600   -3.3486 2
 -34.4575   -3.3051 2
 -34.3796   -3.2844 2
 -34.3378   -3.2936 2
 -34.2808   -3.3028 2
 -34.2465   -3.3394 2
 -34.2275   -3.3578 2
 -34.2160   -3.3624 2
 -34.0979   -3.3326 2
 -34.0731   -3.3142 2
 -34.0330   -3.2913 2
 -33.9911   -3.2592 2
 -33.9567   -3.2271 2
 -33.9261   -3.1767 2
 -33.9185   -3.1423 2
 -33.8994   -3.0965 2
 -33.8688   -3.0507 2
 -33.8516   -3.0025 2
 -33.8305   -2.9613 2
 -33.7961   -2.9292 2
 -33.7368   -2.9200 2
 -33.6755   -2.9040 2
 -33.6582   -2.8856 2
 -33.6237   -2.8352 2
 -33.5949   -2.8192 2
 -33.5489   -2.8077 2
 -33.5239   -2.8146 2
 -33.5201   -2.8673 2
 -33.5028   -2.9292 2
 -33.4932   -2.9636 2
 -33.4702   -2.9819 2
 -33.4471   -2.9956 2
  99.0000   99.0000 3
